Name,Park,Track,Speed,Height,Drop,Length,Duration,Inversions
Tower of Terror,Dreamworld,Steel,100,377.33,328.1,1235,28,0
Canyon Blaster,Adventuredome,Steel,41,94,66,2423,60,1
Xcelerator,Knott's Berry Farm,Steel,82,205,130,2202,62,0
Afterburner,Fun Spot,Steel,45,56,47,635,66,1
Silver Bullet,Frontier City,Steel,55,83,75,1942,75,1
New Mexico Rattler,Cliff's Amusement Park,Wood,47,80,75,2750,75,0
Outlaw Run,Silver Dollar City,Wood,68,107,162,2937,87,1
Thunderbolt,Kennywood Park,Wood,55,70,95,2887,90,0
Invertigo,Paramount's Great America,Steel,55,138,138,985,90,1
Freestyle,Cavallino Matto,Steel,51,88,84,2210,92,1
Dragon in Clouds,Happy Valley,Steel,53.7,117.8,111.8,2454.1,92,1
Deja Vu,Six Flags Great America,Steel,65.6,191.5,177,1204,92,1
Stunt Fall,Warner Bros. Movie World,Steel,65.6,191.6,177,1204,92,1
Goliath,Six Flags New England,Steel,65.6,191.6,177,1204,92,1
Giant Inverted Boomerang,Jin Jiang Action Park,Steel,65.6,191.6,177,1204,92,1
LEGO TECHNIC Test Track,Legoland Florida,Steel,35,51.8,49.8,1312.3,95,0
Max Speed,Suzhou Amusement Land,Steel,49.7,147.7,114.8,876,100,1
Coaster Thrill Ride,Puyallup Fair,Wood,50,55,52,2650,105,0
Blue Streak,Cedar Point,Wood,40,78,72,2558,105,0
Comet,Hersheypark,Wood,50,84,78,3360,105,0
Hayabusa,tokyo SummerLand,Steel,60.3,137.8,124.67,2559.1,108,0
Hayabusa,Tokyo SummerLand,Steel,60.3,137.8,124.67,2559.1,108,0
Tennessee Tornado,Dollywood,Steel,63,163,128,2682,108,1
Whizzer,Six Flags Great America,Steel,42,70,64,3100,120,0
Iron Wolf,Six Flags Great America,Steel,55,100,90,2900,120,1
Apocalypse,Six Flags America,Steel,55,100,90,2900,120,1
Abyss,Adventure World,Steel,52.8,98.4,100,2066.9,120,1
Hurricane,Myrtle Beach Pavilion,Wood,55,101.5,100,3800,120,0
Magnum XL-200,Cedar Point,Steel,72,205,194.6,5106,120,0
Top Gun,Paramount Canada's Wonderland,Steel,56,102,93,2170,125,1
Hangman,Wild Adventures,Steel,55,115,95,2170,125,1
Kong,Six Flags Marine World,Steel,55,115,95,2170,125,1
Mind Eraser,Six Flags America,Steel,55,115,95,2170,125,1
T2,Six Flags Kentucky Kingdom,Steel,55,115,95,2170,125,1
Flash,Lewa Adventure,Steel,71.5,200.2,190.3,4176.5,128,1
Suspended Roller Coaster,Sino Wonderland,Steel,49.7,108.3,95.2,2624.7,130,1
Hanging Roller Coaster,Crab Island Resort,Steel,49.7,108.3,95.2,2624.7,130,1
Suspended Coaster,Hangzhou Paradise,Steel,49.7,108.3,95.2,2624.7,130,1
Wang Zhong Wang,Tianjin Shuishang Park,Steel,49.7,108.3,95.2,2624.7,130,1
Hand Roller Coaster,Harbin Amusement Park,Steel,49.7,108.3,95.2,2624.7,130,1
Hanging Roller Coaster,Shenyang Botanical Garden,Steel,49.7,108.3,95.2,2624.7,130,1
Timber Wolf,Worlds of Fun,Wood,53,100,95,4230,133,0
Incredible Hulk,Universal Studios Islands of Adventure,Steel,67,110,105,3700,135,1
Hercules,Dorney Park,Wood,65,95,151,4000,135,0
Apollo's Chariot,Busch Gardens Williamsburg,Steel,73,170,210,4882,135,0
Wildfire,Silver Dollar City,Steel,66,120,155,3073,136,1
Great American Scream Machine,Six Flags Great Adventure,Steel,68,173,155,3800,140,1
American Eagle,Six Flags Great America,Wood,66,127,147,4650,143,0
Rattler,Six Flags Fiesta Texas,Wood,65,179.5,124,5080,146,0
Rattler,Six Flags Fiesta Texas,Wood,73,179.5,166.5,5080,146,0
Wild Beast,Paramount Canada's Wonderland,Wood,56,82,78,3150,150,0
Wild One,Six Flags America,Wood,53,98,88,4000,150,0
Screamin' Eagle,Six Flags St. Louis,Wood,62,110,92,3872,150,0
Orient Express,Worlds of Fun,Steel,65,117,115,3470,150,1
Colossus,Six Flags Magic Mountain,Wood,62,125,115,4325,150,0
Texas Giant,Six Flags Over Texas,Wood,65,143,137,4920,150,0
Green Lantern,Six Flags Great Adventure,Steel,63,154,144,4155,150,1
Viper,Six Flags Magic Mountain,Steel,70,188,171,3830,150,1
Raging Bull,Six Flags Great America,Steel,73,202,208,5057,150,0
Manta,SeaWorld Orlando,Steel,56,140,113,3359,155,1
Superman - Ride Of Steel,Six Flags New England,Steel,77,208,221,5400,155,0
Manhattan Express,"New York, New York Hotel & Casino",Steel,67,203,144,4777,160,1
Banshee,Kings Island,Steel,68,167,150,4124,160,1
GateKeeper,Cedar Point,Steel,67,170,164,4164,160,1
Desperado,Buffalo Bill's Resort & Casino,Steel,80,209,225,5843,163,0
Cœ Chulainn,Tayto Park,Wood,55.9,105,105.7,3582.7,165,0
Millennium Force,Cedar Point,Steel,93,310,300,6595,165,0
Apocalypse the Ride,Six Flags Magic Mountain,Wood,50.1,95,87.3,2877,180,0
Scream!,Six Flags Magic Mountain,Steel,63,150,141,3985,180,1
Chang,Six Flags Kentucky Kingdom,Steel,63,154,144,4155,180,1
Riddler's Revenge,Six Flags Magic Mountain,Steel,65,156,146,4370,180,1
Steel Eel,SeaWorld Of Texas,Steel,65,150,150,3700,180,0
Titan,Space World,Steel,71.5,166,178,5019.67,180,0
Wild Thing,Valleyfair!,Steel,74,207,196,5460,180,0
Mamba,Worlds of Fun,Steel,75,205,205,5600,180,0
Steel Force,Dorney Park,Steel,75,200,205,5600,180,0
Diamondback,Kings Island,Steel,80,230,215,5282,180,0
Goliath,Six Flags Magic Mountain,Steel,85,235,255,4500,180,0
Shambhala,PortAventura Park,Steel,83.3,249.3,255.9,5131.3,180,0
Intimidator 305,Kings Dominion,Steel,90,305,300,5100,180,0
Alpengeist,Busch Gardens Williamsburg,Steel,67,195,170,3828,190,1
Mean Streak,Cedar Point,Wood,65,161,155,5427,193,0
Medusa,Six Flags Marine World,Steel,65,150,150,3937,195,1
Superman - Ride Of Steel,Six Flags Darien Lake,Steel,73,208,205,5400,200,0
Titan,Six Flags Over Texas,Steel,85,245,255,5312,210,0
Intimidator,Carowinds,Steel,75,232,211,5316,213,0
Fujiyama,Fuji-Q Highlands,Steel,80.8,259.2,229.7,6708.67,216,0
Kraken,SeaWorld Orlando,Steel,65,149,144,4177,219,1
Twisted Colossus,Six Flags Magic Mountain,Steel,57,121,128,4990,220,1
Beast,Paramount's Kings Island,Wood,64.8,105,141,7400,220,0
Nitro,Six Flags Great Adventure,Steel,80,230,215,5394,240,0
Superman The Escap,Six Flags Magic Mountain,Steel,100,415,328.1,1235,28,0
Top Thrill Dragster,Cedar Point,Steel,120,420,400,2800,30,0
Oblivion,Alton Towers,Steel,68,65,180,1222,75,0
Raptor,Gardaland,Steel,55.9,108.3,55.8,2526.3,90,1
Thunder Dolphin,LaQua,Steel,80.8,262.5,218.1,3500,90,0
Sky Scrapper,World Joyland,Steel,54.7,104.3,104.3,2805.1,126,1
Phantom's Revenge,Kennywood Park,Steel,82,160,228,3200,137,0
Son Of Beast,Paramount's Kings Island,Wood,78.4,218,214,7032,140,0
Jungle Trailblazer,Oriental Heritage,Wood,55.3,106.2,104,3218.5,150,1
Steel Dragon 2000,Nagashima Spa Land,Steel,95,318.25,306.75,8133.1,240,0
